,lyric
597,"('hmmm', 'NN')"
597,"('uhhh', 'JJ')"
600,"('beanieeeeeeee', 'NN')"
600,"('beanieeeeeeee', 'JJ')"
600,"('beanieee', 'JJ')"
600,"('beanieee', 'NN')"
600,"('beanieeeeeeee', 'JJ')"
606,"('mmm', 'NN')"
611,"('oooh', 'NN')"
612,"('oooh', 'NN')"
636,"('ffffff', 'JJ')"
638,"('mmm', 'NN')"
638,"('fresssssh', 'VBZ')"
641,"('egggun', 'NN')"
649,"('aaah', 'VBP')"
649,"('boygrrrl', 'JJ')"
651,"('mmm', 'JJ')"
651,"('drrrop', 'NN')"
659,"('yeaaah', 'JJR')"
666,"('ggget', 'NN')"
666,"('ggget', 'VBP')"
668,"('fffunk', 'NN')"
668,"('fffunk', 'NN')"
669,"('shhhhh', 'NN')"
669,"('shhhhhhhh', 'VBZ')"
669,"('shhh', 'NN')"
669,"('shhhhhhh', 'VBZ')"
669,"('shhhhhhhhh', 'NN')"
670,"('shhhsnatching', 'VBG')"
671,"('kkk', 'NN')"
672,"('uhhhh', 'NN')"
682,"('mmmm', 'NN')"
687,"('mmmdrop', 'NN')"
688,"('wooo', 'JJ')"
693,"('deee', 'VB')"
698,"('dooooo', 'JJ')"
698,"('dooooo', 'NN')"
698,"('dooooo', 'NN')"
698,"('dooooo', 'NN')"
705,"('bummmm', 'NN')"
705,"('bummmm', 'NN')"
706,"('brrrlatt', 'RB')"
708,"('saxxx', 'NN')"
708,"('saxxx', 'JJ')"
710,"('saxxx', 'NN')"
715,"('booo', 'NN')"
715,"('booom', 'NN')"
715,"('bboooom', 'NN')"
715,"('boooomm', 'NN')"
715,"('booom', 'NN')"
716,"('saxxx', 'NN')"
718,"('everydayyyyy', 'JJ')"
718,"('biiitch', 'NN')"
718,"('toooooo', 'JJ')"
718,"('toooooo', 'VB')"
719,"('saxxx', 'NN')"
721,"('awooo', 'NN')"
725,"('mmm', 'NN')"
725,"('mmm', 'NN')"
725,"('mmm', 'NN')"
729,"('mmm', 'NN')"
729,"('welllll', 'NN')"
730,"('aiyyyyyyyyyyyyyyo', 'NN')"
730,"('hmmmmmmmmmmmmmmm', 'JJ')"
730,"('hmmmmmmmmmm', 'NN')"
730,"('hmmmmmmmmmmmmmmmmm', 'VBD')"
730,"('nahhhhh', 'RB')"
730,"('parrrrrrlay', 'VB')"
731,"('ahhh', 'JJ')"
731,"('hhhhey', 'NN')"
734,"('greeeat', 'NN')"
734,"('awiiite', 'JJ')"
735,"('dammmmn', 'JJ')"
736,"('whooo', 'JJ')"
736,"('stooopid', 'JJ')"
737,"('uuuuup', 'JJ')"
743,"('nooooooooooooooooooooooooooooooo', 'NN')"
747,"('marlll', 'NN')"
769,"('lll', 'NNS')"
770,"('dressshirt', 'NN')"
806,"('ohhh', 'JJ')"
806,"('ohhh', 'NN')"
806,"('ohhh', 'JJ')"
806,"('ohhh', 'NN')"
806,"('ohhh', 'NN')"
806,"('ohhh', 'NN')"
811,"('mmm', 'NN')"
814,"('dollll', 'NN')"
815,"('mmm', 'NN')"
824,"('xxx', 'JJ')"
824,"('brrr', 'NN')"
824,"('ahhh', 'JJ')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'JJ')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'VBP')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'RB')"
826,"('aaaall', 'NN')"
826,"('aaaall', 'VBP')"
826,"('aaaall', 'NN')"
828,"('awwww', 'NN')"
836,"('ooo', 'NN')"
844,"('hoowoooo', 'NN')"
845,"('annnd', 'NN')"
846,"('ahhh', 'VBP')"
846,"('ahhhh', 'NN')"
846,"('______', 'NN')"
848,"('iiid', 'VB')"
848,"('ooooh', 'JJ')"
848,"('wayyyyyyyyy', 'NN')"
848,"('wayyyyyyyy', 'NN')"
848,"('welllll', 'RB')"
848,"('welll', 'JJ')"
848,"('wellllllllllllllllllllll', 'VB')"
848,"('freeeeeee', 'JJ')"
848,"('plaaaaaaaaace', 'NN')"
848,"('ooooooooohhhhh', 'NNS')"
848,"('mooooooooooost', 'NNS')"
848,"('ooooooooohhhhh', 'NNS')"
848,"('wellllllllllll', 'RB')"
848,"('welll', 'RB')"
848,"('welll', 'NNS')"
848,"('welll', 'JJ')"
848,"('welll', 'JJ')"
848,"('welll', 'NN')"
848,"('welll', 'NN')"
848,"('welll', 'NN')"
848,"('yeahhhhh', 'JJ')"
848,"('pleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeease', 'NN')"
851,"('ahhhhhhhhhhhhhhh', 'RB')"
851,"('ollllld', 'JJ')"
852,"('hmmm', 'NN')"
853,"('sheeeeit', 'JJ')"
855,"('radiohhhh', 'NN')"
855,"('radiohhhh', 'NN')"
855,"('radiohhhh', 'NN')"
855,"('radiohhhh', 'NN')"
862,"('helll', 'NN')"
866,"('c44444', 'VBP')"
868,"('heeey', 'NN')"
868,"('maaajor', 'JJ')"
868,"('daaays', 'NNS')"
868,"('waaaay', 'VBN')"
868,"('slaaaya', 'VBP')"
868,"('saaay', 'JJ')"
868,"('praaayeras', 'NNS')"
868,"('yaaaya', 'JJ')"
868,"('flooow', 'NN')"
868,"('ohhh', 'RB')"
868,"('behooold', 'JJ')"
868,"('foooe', 'NN')"
868,"('soooul', 'NN')"
868,"('navahoooos', 'JJ')"
868,"('doooooooooooooooough', 'NN')"
885,"('iii', 'JJ')"
892,"('iii', 'NN')"
892,"('iii', 'NN')"
892,"('iii', 'NN')"
892,"('iii', 'NN')"
892,"('iii', 'NN')"
893,"('supresssed', 'VBN')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('fiiiyiiiire', 'NN')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
895,"('onlyonlaaaaaaay', 'VBP')"
896,"('ooooh', 'JJ')"
896,"('oooo', 'NN')"
896,"('weee', 'NN')"
902,"('c601999', 'NN')"
906,"('hatazzzzz', 'NN')"
906,"('ohhhh', 'NN')"
908,"('yeahhhhhh', 'NN')"
913,"('oooh', 'VB')"
921,"('itttt', 'JJ')"
921,"('ohhh', 'JJ')"
922,"('truuuuuuuuue', 'NN')"
922,"('meeeee', 'JJ')"
922,"('meeeee', 'NN')"
922,"('knowwww', 'NN')"
922,"('shiiiiine', 'VB')"
922,"('shiiiiine', 'VB')"
922,"('shiiiiine', 'VB')"
922,"('shiiiiine', 'VB')"
923,"('oooooooooooookilla', 'NN')"
926,"('boooooone', 'NN')"
926,"('boooooone', 'NN')"
941,"('wooohooo', 'NN')"
941,"('wooohooo', 'JJ')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
944,"('ooooh', 'VBP')"
952,"('aaaaasked', 'VBD')"
954,"('loooong', 'JJ')"
955,"('hmmmright', 'JJ')"
955,"('yeaaah', 'NN')"
955,"('uhhh', 'JJ')"
961,"('whaoheee', 'NN')"
961,"('whaoheee', 'NN')"
961,"('faaaalse', 'JJ')"
961,"('whaoheee', 'NN')"
962,"('uhhh', 'JJ')"
984,"('mmmm', 'NN')"
984,"('mmmm', 'VBP')"
984,"('mmmm', 'VBP')"
987,"('mmm', 'NN')"
992,"('sssend', 'VBP')"
992,"('sssssend', 'JJ')"
995,"('hmmm', 'NN')"
1003,"('mmm', 'NN')"
1003,"('mmm', 'VBP')"
1003,"('mmm', 'VB')"
1003,"('mmm', 'VBP')"
1013,"('oooh', 'JJ')"
1014,"('mmm', 'JJ')"
1023,"('ccc', 'NNS')"
1084,"('bbbbuy', 'VB')"
1084,"('fulllength', 'NN')"
1084,"('fulllength', 'NN')"
1084,"('fulllength', 'NN')"
1084,"('fulllength', 'NN')"
1084,"('fulllength', 'NN')"
1131,"('peeew', 'NN')"
1134,"('ooow', 'VBP')"
1147,"('mmm', 'NN')"
1147,"('dddddddddddddamn', 'RB')"
1187,"('ffft', 'VBP')"
1197,"('grrr', 'NN')"
1208,"('iiii', 'NN')"
1209,"('lllies', 'NNS')"
1212,"('ohhh', 'JJ')"
1212,"('counterbrrrt', 'NN')"
1212,"('akbrrrt', 'NN')"
1212,"('phonebrrrt', 'NN')"
1217,"('okkk', 'NN')"
1246,"('crossstate', 'VB')"
1250,"('fulllength', 'NN')"
1250,"('brrr', 'RB')"
1251,"('pharrellll', 'NN')"
1254,"('gggot', 'VBD')"
1254,"('gggot', 'NN')"
1257,"('ahhha', 'VB')"
1257,"('uayyyc', 'JJ')"
1257,"('heyyyyyy', 'NN')"
1266,"('dddame', 'NN')"
1267,"('yyyyo', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('saveaohhh', 'NN')"
1267,"('ohhh', 'VBP')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'NN')"
1267,"('ohhh', 'RB')"
1267,"('ohhh', 'JJ')"
1282,"('hmmmm', 'NN')"
1286,"('ahhh', 'JJ')"
1286,"('sliiiiimer', 'NN')"
1287,"('heeeeyyyy', 'VBP')"
1287,"('heeeeeyyyy', 'NN')"
1287,"('heeeeyyyy', 'VBP')"
1287,"('heeeeeyyyy', 'NN')"
1287,"('heeeeyyyy', 'JJ')"
1287,"('heeeeeyyyy', 'NN')"
1287,"('heeeeyyyy', 'JJ')"
1287,"('heeeeeyyyy', 'NN')"
1287,"('knooow', 'VBP')"
1287,"('knoooooow', 'VBP')"
1287,"('ooohowoooo', 'NN')"
1287,"('yeaahhh', 'NN')"
1292,"('meeeee', 'JJ')"
1295,"('psss', 'NN')"
1298,"('rrrrock', 'NN')"
1299,"('ummmm', 'JJ')"
1305,"('shiiiiit', 'NN')"
1313,"('kkky', 'NN')"
1313,"('kkky', 'NN')"
1319,"('naaaasty', 'JJ')"
1328,"('wacknesss', 'NN')"
1329,"('meeeee', 'NN')"
1335,"('pppppppppussy', 'JJ')"
1335,"('pppppppppussy', 'JJ')"
1335,"('pppppppppussy', 'NN')"
1335,"('pppppppppussy', 'JJ')"
1335,"('pppussy', 'JJ')"
1335,"('pppussy', 'NN')"
1335,"('pppppppppussy', 'JJ')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1354,"('huhhhhh', 'NN')"
1355,"('ttturn', 'NN')"
1377,"('buckooock', 'NN')"
1377,"('graaah', 'NN')"
1385,"('grrra', 'JJ')"
1394,"('soooo', 'NN')"
1395,"('doooooooooog', 'JJ')"
1396,"('baaad', 'VBP')"
1396,"('weeed', 'VBP')"
1399,"('boooooommmmmm', 'NN')"
1399,"('yeahhh', 'JJ')"
1402,"('towwwwn', 'NN')"
1402,"('undergrounnnnd', 'JJ')"
1404,"('aaaant', 'NN')"
1410,"('ahhh', 'NN')"
1411,"('siiiimon', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('oooo', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1413,"('hummm', 'NN')"
1414,"('ahhh', 'RB')"
1425,"('lalalalalalaaa', 'NN')"
1425,"('lalalalalaaa', 'NN')"
1425,"('lalalalalalaaa', 'NN')"
1425,"('lalalalalaaa', 'NN')"
1428,"('weweweweweeeeeeed', 'NN')"
1428,"('weeeed', 'NN')"
1428,"('weeeeed', 'VBD')"
1428,"('weeeeeeed', 'NN')"
1428,"('weeeeeeeeeed', 'VBD')"
1428,"('weeeeeeeeeed', 'VBD')"
1435,"('grrrrrah', 'JJ')"
1437,"('errrick', 'JJ')"
1437,"('serrrmon', 'NN')"
1437,"('bzzzzt', 'VBP')"
1451,"('dddj', 'NN')"
1451,"('dddj', 'NN')"
1452,"('mmmhmm', 'NN')"
1452,"('mmm', 'NN')"
1452,"('mmm', 'NN')"
1463,"('huuuuuh', 'NN')"
1474,"('uuup', 'JJ')"
1474,"('uuup', 'JJ')"
1474,"('uuup', 'JJ')"
1480,"('brrrr', 'NN')"
1480,"('brrrr', 'RB')"
1483,"('mmmmmmmmaybach', 'NN')"
1483,"('mmmmmaybach', 'NN')"
1486,"('rrreal', 'NN')"
1486,"('iii', 'NN')"
1492,"('rrrock', 'NN')"
1496,"('haaaan', 'NN')"
1496,"('haaaan', 'NN')"
1496,"('truuuu', 'VB')"
1501,"('ahhh', 'VBZ')"
1503,"('boyyyyyyy', 'NN')"
1504,"('mmm', 'NN')"
1507,"('shhhhhh', 'JJ')"
1508,"('ahhhhh', 'NN')"
1516,"('ahhhh', 'NN')"
1518,"('rrr', 'NN')"
1518,"('rrr', 'NN')"
1518,"('rrr', 'JJ')"
1522,"('grrrrr', 'RB')"
1526,"('errrrrrrr', 'RB')"
1538,"('rrrrrgh', 'NN')"
1548,"('ealllucation', 'NN')"
1558,"('oooooh', 'JJ')"
1558,"('oooooh', 'JJ')"
1558,"('oooooh', 'NN')"
1558,"('oooooh', 'JJ')"
1558,"('boooty', 'NN')"
1558,"('yooouu', 'NN')"
1558,"('oooooh', 'NN')"
1558,"('oooooh', 'JJ')"
1558,"('oooooh', 'JJ')"
1558,"('oooooh', 'JJ')"
1593,"('pusssy', 'VBP')"
1606,"('rrright', 'VBN')"
1611,"('ooohweeeeeee', 'JJ')"
1621,"('ohhhhhhhhh', 'NN')"
1625,"('eee', 'NN')"
1628,"('oooh', 'JJ')"
1628,"('nooohhh', 'JJ')"
1628,"('nooohhh', 'NN')"
1628,"('oooh', 'NN')"
1628,"('nooohhh', 'JJ')"
1628,"('nooohhh', 'JJ')"
1628,"('oooh', 'NN')"
1628,"('nooohhh', 'NN')"
1628,"('nooohhh', 'JJ')"
1628,"('oooh', 'NN')"
1628,"('nooohhh', 'NN')"
1630,"('oooh', 'NN')"
1630,"('oooooooh', 'JJ')"
1630,"('oooooh', 'JJ')"
1633,"('foooood', 'NN')"
1636,"('oooh', 'VBZ')"
1636,"('oooh', 'NN')"
1636,"('oooh', 'JJ')"
1636,"('oooh', 'NN')"
1644,"('blllink', 'VBP')"
1648,"('mmm', 'NN')"
1654,"('oooh', 'JJ')"
1657,"('waaaaaait', 'VBZ')"
1657,"('awww', 'JJ')"
1660,"('weee', 'NN')"
1660,"('weee', 'NN')"
1668,"('ddduhduhdoh', 'JJ')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'RP')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'RB')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'RB')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'NN')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'RB')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'JJ')"
1669,"('oooh', 'RB')"
1669,"('oooh', 'JJ')"
1685,"('sssch', 'NN')"
1687,"('mmm', 'VBN')"
1693,"('bbbeen', 'RB')"
1716,"('mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmotherfucking', 'VBG')"
1716,"('mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmotherfucking', 'VBG')"
1716,"('aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'NN')"
1716,"('riverriverrrrriver', 'NN')"
1716,"('iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii', 'VBP')"
1716,"('rrrrrrrrrr', 'JJ')"
1716,"('iiiii', 'NN')"
1716,"('mammmmmmmmmmmaximise', 'NN')"
1716,"('mammmmmmmmmmmaximise', 'NN')"
1716,"('mammmmmmmmmmmaximise', 'NN')"
1716,"('mammmmmmmmmmmaximise', 'NN')"
1716,"('heeeeeeeeeeeeeereeeeee', 'NN')"
1716,"('ddddddance', 'NN')"
1716,"('aaaaaaaaaaaaaaaaaaaaaaaaa', 'VBN')"
1716,"('ikiiiiiiiiiiiiiiiiiiiiiiiiiiiwith', 'VBP')"
1716,"('iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiwith', 'JJ')"
1716,"('gggggget', 'NN')"
1716,"('ggggggget', 'NNS')"
1716,"('aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'RB')"
1716,"('ohohohohohohohhh', 'NN')"
1716,"('aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'JJ')"
1716,"('atttfuck', 'JJ')"
1716,"('atttfuck', 'JJ')"
1716,"('atttfuck', 'JJ')"
1716,"('atttfuck', 'JJ')"
1716,"('atttfuck', 'JJ')"
1716,"('atttfuck', 'NN')"
1716,"('oooooooooooooooooooooo', 'NN')"
1716,"('ibiiiiiii', 'NN')"
1716,"('jjj', 'NN')"
1716,"('aaaaaaaaaaaaaaaaaaaaa', 'VBP')"
1717,"('ooooverlord', 'NN')"
1717,"('ooooverlord', 'NN')"
1717,"('ooooverlord', 'NN')"
1717,"('ooooverlord', 'NN')"
1717,"('ooooverlord', 'NN')"
1717,"('ooooverlord', 'NN')"
1723,"('aaaah', 'NN')"
1724,"('bbb', 'VBP')"
1727,"('aaaaaaaaaaaaaaaaaaaaa', 'RB')"
1737,"('hellll', 'JJ')"
1743,"('tttttthis', 'VBZ')"
1743,"('tttttthis', 'VBZ')"
1743,"('tttttthis', 'VBZ')"
1743,"('tttttthis', 'VBZ')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'VBP')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1749,"('wwwwwwwhammy', 'NN')"
1763,"('seeem', 'VBP')"
1779,"('dccc', 'NN')"
1788,"('ggggood', 'NN')"
1789,"('ahhhhhhh', 'JJ')"
1793,"('mmmm', 'NN')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1816,"('mmmhmmhmm', 'VBP')"
1817,"('brrrrrrraaaah', 'NN')"
1817,"('ooooooohaaaah', 'NN')"
1818,"('ohhhhhh', 'VBP')"
1822,"('iiidiot', 'NN')"
1829,"('hoooooh', 'VB')"
1836,"('uhhhhh', 'JJ')"
1837,"('aaaaaah', 'JJ')"
1837,"('yeeeeah', 'NN')"
1837,"('aaah', 'NN')"
1837,"('yeeeeah', 'NN')"
1842,"('hhhol', 'NN')"
1843,"('mmmmm', 'NN')"
1843,"('heeeeyheeeeeey', 'NN')"
1845,"('deeez', 'VBZ')"
1845,"('nuuuts', 'NNS')"
1847,"('yeahhh', 'NN')"
1855,"('eeeh', 'NN')"
1865,"('ohhh', 'NN')"
1865,"('ohhh', 'NN')"
1865,"('ohhh', 'JJ')"
1865,"('ohhh', 'NN')"
1865,"('ooooh', 'JJ')"
1872,"('mmmm', 'VBD')"
1883,"('mmmm', 'NN')"
1888,"('rrrr', 'NN')"
1888,"('rrr', 'NN')"
1896,"('burrrrat', 'NN')"
1896,"('bburrrrat', 'VBZ')"
1896,"('burrrrat', 'VBZ')"
1896,"('burrrrat', 'VBZ')"
1896,"('burrrrat', 'VBZ')"
1896,"('burrrrat', 'VBZ')"
1896,"('burrrrat', 'VBZ')"
1905,"('ohhhh', 'VBP')"
1905,"('ohhhh', 'VBP')"
1920,"('dddown', 'NN')"
1930,"('gggotta', 'NN')"
1930,"('gggotta', 'NN')"
1930,"('gggotta', 'NN')"
1933,"('mmmmmm', 'VBZ')"
1937,"('dddddollardollar', 'JJ')"
1937,"('dddddollardollar', 'JJ')"
1937,"('dddddollardollar', 'JJ')"
1956,"('ohhh', 'VBZ')"
1956,"('ohhh', 'JJ')"
1974,"('zzz', 'NNP')"
1978,"('mmmmm', 'VBZ')"
1978,"('welllll', 'NN')"
1978,"('ohhhhh', 'VBZ')"
1978,"('welll', 'VBZ')"
1978,"('ohhhhh', 'NN')"
1978,"('welll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
